# Spectral Indices Definitions (AIR)
# 
#ID  name        units       centr_b   centr_r     pcont_bb  pcont_br    pcont_rb  pcont_rr     latex_name       latex_units  ref.                                                    
000  OII         A           3717.000  3737.000    3660.000  3708.000    3736.000  3764.000     OII372X          \AA          12
001  CaIIK       A           3925.650  3945.000    3845.000  3880.000    3950.000  3954.000     CaII~K           \AA          9
002  CaIIH       A           3959.400  3975.000    3950.000  3954.000    3983.000  3993.000     CaII~H           \AA          9
003  D4000       break_nu       0.000     0.000    3750.000  3950.000    4050.000  4250.000     D4000            dex          5
004  Dn4000      break_nu       0.000     0.000    3850.000  3950.000    4000.000  4100.000     D_{n}4000        dex          6
005  HdA         A           4083.500  4122.250    4041.600  4079.750    4128.500  4161.000     H\delta_A        \AA          2
006  HdF         A           4091.000  4112.250    4057.250  4088.500    4114.750  4137.250     H\delta_F        \AA          2
007  CN1         mag         4142.125  4177.125    4080.125  4117.625    4244.125  4284.125     CN_1             mag          1
008  CN2         mag         4142.125  4177.125    4083.875  4096.375    4244.125  4284.125     CN_2             mag          1
009  Ca4227      A           4222.250  4234.750    4211.000  4219.750    4241.000  4251.000     Ca4227           \AA          1
010  G4300       A           4281.375  4316.375    4266.375  4282.625    4318.875  4335.125     G4300            \AA          1
011  HgA         A           4319.750  4363.500    4283.500  4319.750    4367.250  4419.750     H\gamma_A        \AA          2
012  HgF         A           4331.250  4352.250    4283.500  4319.750    4354.750  4384.750     H\gamma_F        \AA          2
013  Fe4383      A           4369.125  4420.375    4359.125  4370.375    4442.875  4455.375     Fe4383           \AA          1
014  Ca4455      A           4452.125  4474.625    4445.875  4454.625    4477.125  4492.125     Ca4455           \AA          1
015  Fe4531      A           4514.250  4559.250    4504.250  4514.250    4560.500  4579.250     Fe4531           \AA          1
016  C24668      A           4634.000  4720.250    4611.500  4630.250    4742.750  4756.500     C_{2}4668        \AA          1
017  Hb0         A           4839.275  4877.097    4821.175  4838.404    4897.445  4915.845     H_\beta_0        \AA          11
018  Hb          A           4847.875  4876.625    4827.875  4847.875    4876.625  4891.625     H_\beta          \AA          1
019  OIII5007    A           5001.000  5012.000    4975.000  4991.000    5020.000  5045.000     OIII5007         \AA          12
020  Fe5015      A           4977.750  5054.000    4946.500  4977.750    5054.000  5065.250     Fe5015           \AA          1
021  Mg1         mag         5069.125  5134.125    4895.125  4957.625    5301.125  5366.125     Mg_1             mag          1
022  Mg2         mag         5154.125  5196.625    4895.125  4957.625    5301.125  5366.125     Mg_2             mag          1
023  Mgb         A           5160.125  5192.625    5142.625  5161.375    5191.375  5206.375     Mg_b             \AA          1
024  Fe5270      A           5245.650  5285.650    5233.150  5248.150    5285.650  5318.150     Fe5270           \AA          1
025  Fe5335      A           5312.125  5352.125    5304.625  5315.875    5353.375  5363.375     Fe5335           \AA          1
026  Fe5406      A           5387.500  5415.000    5376.250  5387.500    5415.000  5425.000     Fe5406           \AA          1
027  Fe5709      A           5696.625  5720.375    5672.875  5696.625    5722.875  5736.625     Fe5709           \AA          1
028  Fe5782      A           5776.625  5796.625    5765.375  5775.375    5797.875  5811.625     Fe5782           \AA          1
029  NaD         A           5876.875  5909.375    5860.625  5875.625    5922.125  5948.125     NaD              \AA          1
030  TiO1        mag         5936.625  5994.125    5816.625  5849.125    6038.625  6103.625     TiO_1            mag          1
031  TiO2        mag         6189.625  6272.125    6066.625  6141.625    6372.625  6415.125     TiO_2            mag          1
032  Ha          A           6553.000  6573.000    6505.000  6538.000    6600.000  6688.000     H_\alpha         \AA          12
#
#
# .. references::
#    1   Trager et al. (1998)
#    2   Worthey & Ottaviani (1997)
#    3   Maraston et al. (2009)
#    4   Daddi et al. (2005)
#    5   Bruzual et al. (1983)
#    6   Balogh et al. (1999)
#    7   Spinrad et al. (1997)
#    8   Cenarro et al. (2001)
#    9   Fanfani (2019)
#    10  Talia et al. ()
#    11  Cervantes et al. (2009)
#    12  https://wwwmpa.mpa-garching.mpg.de/SDSS/DR7/SDSS_line.html
